frame_id,vehicle_number,ground_truth_text,detected_text,detected_confidence,match_score,is_correct,gt_bbox,detected_bbox
0,1,NAI3NRU,,0.0,0.0,False,"{'x': 166, 'y': 311, 'width': 151, 'height': 122}",{}
0,2,MW51VSU,,0.0,0.0,False,"{'x': 489, 'y': 263, 'width': 129, 'height': 114}",{}
0,3,GX5OGJ,,0.0,0.0,False,"{'x': 271, 'y': 236, 'width': 115, 'height': 79}",{}
100,1,GXI5OGJ,,0.0,0.0,False,"{'x': 214, 'y': 322, 'width': 158, 'height': 111}",{}
100,2,APO5JEO,,0.0,0.0,False,"{'x': 452, 'y': 249, 'width': 107, 'height': 88}",{}
100,3,KWO5ZZX,,0.0,0.0,False,"{'x': 259, 'y': 232, 'width': 102, 'height': 82}",{}
200,1,APO5JEO,KHO5271,0.0,0.5,False,"{'x': 467, 'y': 349, 'width': 148, 'height': 121}","(np.float64(909.389420302019), np.float64(1380.4801853076037), np.float64(1579.6161060080308), np.float64(1917.8600998863617))"
200,2,KWO5ZZK,KHO5271,0.0,0.5,False,"{'x': 194, 'y': 316, 'width': 154, 'height': 103}","(np.float64(909.389420302019), np.float64(1380.4801853076037), np.float64(1579.6161060080308), np.float64(1917.8600998863617))"
300,1,FJI4ZHY,KHO5271,0.0,0.5,False,"{'x': 165, 'y': 375, 'width': 170, 'height': 108}","(np.float64(981.1356525181031), np.float64(1376.958503979528), np.float64(1666.822823713272), np.float64(1925.4839084064502))"
300,2,EY6INBG,,0.0,0.0,False,"{'x': 511, 'y': 294, 'width': 150, 'height': 119}",{}
400,1,AVO8HVF,,0.0,0.0,False,"{'x': 172, 'y': 364, 'width': 134, 'height': 107}",{}
400,2,HVI4CD,,0.0,0.0,False,"{'x': 497, 'y': 378, 'width': 149, 'height': 98}",{}
400,3,BG65USJ,,0.0,0.0,False,"{'x': 505, 'y': 206, 'width': 160, 'height': 184}",{}
400,4,NA54KGJ,,0.0,0.0,False,"{'x': 222, 'y': 270, 'width': 122, 'height': 79}",{}
500,1,NA54KGJ,AK64DHV,0.0,0.5,False,"{'x': 177, 'y': 355, 'width': 142, 'height': 107}","(np.float64(1018.6389771573065), np.float64(1180.1399996082826), np.float64(1604.7302968650304), np.float64(1644.6809536928756))"
500,2,AK64DMV,AK64DHV,0.0,0.5,False,"{'x': 215, 'y': 264, 'width': 145, 'height': 113}","(np.float64(1018.6389771573065), np.float64(1180.1399996082826), np.float64(1604.7302968650304), np.float64(1644.6809536928756))"
600,1,EFIODZT,AK64DHV,0.0,0.5,False,"{'x': 520, 'y': 343, 'width': 147, 'height': 110}","(np.float64(991.6629640255828), np.float64(1186.6075220516454), np.float64(1558.5093760009686), np.float64(1596.96805904425))"
600,2,GJO6EPD,AK64DHV,0.0,0.5,False,"{'x': 492, 'y': 199, 'width': 85, 'height': 67}","(np.float64(991.6629640255828), np.float64(1186.6075220516454), np.float64(1558.5093760009686), np.float64(1596.96805904425))"
600,3,DU62HYJ,AK64DHV,0.0,0.5,False,"{'x': 690, 'y': 255, 'width': 139, 'height': 104}","(np.float64(991.6629640255828), np.float64(1186.6075220516454), np.float64(1558.5093760009686), np.float64(1596.96805904425))"
700,1,AF65JKV,,0.0,0.0,False,"{'x': 502, 'y': 367, 'width': 160, 'height': 112}",{}
700,2,GJO6JPD,,0.0,0.0,False,"{'x': 496, 'y': 246, 'width': 111, 'height': 89}",{}
700,3,EYO9VVS,,0.0,0.0,False,"{'x': 454, 'y': 148, 'width': 90, 'height': 77}",{}
800,1,EY09 WK,SGJ06EPD,0.0,0.5,False,"{'x': 485, 'y': 182, 'width': 89, 'height': 79}","(np.float64(2229.3991164397507), np.float64(1497.0786872062783), np.float64(2992.9011078953376), np.float64(1993.6853391056854))"
900,1,DAO7CLXv,SGJ06EPD,0.0,0.5,False,"{'x': 514, 'y': 340, 'width': 155, 'height': 107}","(np.float64(2266.760754845027), np.float64(1483.0918945693895), np.float64(3013.35237634418), np.float64(1992.3663500028772))"
900,2,EY09VWS,SGJ06EPD,0.0,0.5,False,"{'x': 479, 'y': 217, 'width': 116, 'height': 121}","(np.float64(2266.760754845027), np.float64(1483.0918945693895), np.float64(3013.35237634418), np.float64(1992.3663500028772))"
1000,1,EY09VWS,SGJ06EPD,0.0,0.5,False,"{'x': 459, 'y': 291, 'width': 171, 'height': 170}","(np.float64(2101.936606950881), np.float64(1392.365107054353), np.float64(2906.2172364311587), np.float64(1985.9257164639037))"
1100,1,BP63LXUV,SGJ06EPD,0.0,0.5,False,"{'x': 454, 'y': 250, 'width': 165, 'height': 143}","(np.float64(2063.1485773049535), np.float64(1201.6309282225784), np.float64(2854.4257978839823), np.float64(1817.419439906842))"
